device cuda
Training different architectures
d1 5633 trainable params
[0] 0.3077
[0] 0.1716
[0] 0.1533
[0] 0.1625
[0] 0.1495
[0] 0.1413
[0] 0.1322
[0] 0.1470
[1] 0.1116
[1] 0.1010
[1] 0.0974
[1] 0.0973
[1] 0.0935
[1] 0.0932
[1] 1.0737
[1] 0.0856
[2] 0.0874
[2] 0.0890
[2] 13.3425
[2] 0.0996
[2] 0.0919
[2] 0.0898
[2] 0.0876
[2] 0.0888
[3] 0.0845
[3] 0.0855
[3] 0.0838
[3] 0.0846
[3] 0.0846
[3] 0.0922
[3] 0.0805
[3] 0.0860
[4] 0.0843
[4] 0.0798
[4] 0.0838
[4] 0.0778
[4] 0.0794
[4] 0.0774
[4] 0.0790
[4] 0.0787
[5] 0.0767
[5] 0.0737
[5] 0.0756
[5] 0.0767
[5] 0.0812
[5] 0.0751
[5] 0.0780
[5] 0.0770
[6] 0.0771
[6] 0.0738
[6] 0.0741
[6] 0.0736
[6] 0.0696
[6] 0.0709
[6] 0.0723
[6] 0.0726
[7] 0.0727
[7] 0.0711
[7] 0.0746
[7] 0.0694
[7] 0.0702
[7] 0.0705
[7] 0.0695
[7] 0.0673
[8] 0.0647
[8] 0.0703
[8] 0.0679
[8] 0.0657
[8] 0.0661
[8] 0.0700
[8] 0.0669
[8] 0.0694
[9] 0.0677
[9] 0.0676
[9] 0.0673
[9] 0.0630
[9] 0.0631
[9] 0.0660
[9] 0.0666
[9] 0.0647
d2 7953 trainable params
[0] 0.2048
[0] 0.1591
[0] 0.1344
[0] 0.1079
[0] 0.0952
[0] 0.0954
[0] 0.0835
[0] 0.0819
[1] 0.0760
[1] 0.0763
[1] 0.0770
[1] 0.0801
[1] 0.0765
[1] 1.0719
[1] 0.0813
[1] 0.0710
[2] 0.0701
[2] 0.0701
[2] 0.0673
[2] 0.0647
[2] 0.0661
[2] 0.0691
[2] 0.0712
[2] 0.0663
[3] 0.0674
[3] 0.0651
[3] 0.0645
[3] 0.0631
[3] 0.0658
[3] 0.0628
[3] 0.0620
[3] 0.0655
[4] 0.0628
[4] 0.0613
[4] 0.0627
[4] 0.0587
[4] 0.0609
[4] 0.0629
[4] 0.0619
[4] 0.0642
[5] 0.0624
[5] 0.0597
[5] 0.0628
[5] 0.0614
[5] 0.0641
[5] 0.0577
[5] 0.0628
[5] 0.0592
[6] 0.0583
[6] 0.0585
[6] 0.0617
[6] 0.0608
[6] 0.0595
[6] 0.0565
[6] 0.0580
[6] 0.0578
[7] 0.0573
[7] 0.0597
[7] 0.0575
[7] 0.0626
[7] 0.0571
[7] 0.0568
[7] 0.0567
[7] 0.0606
[8] 0.0576
[8] 0.0578
[8] 0.0533
[8] 0.0579
[8] 0.0577
[8] 0.0583
[8] 0.0545
[8] 0.0559
[9] 0.0545
[9] 0.0552
[9] 0.0593
[9] 0.0593
[9] 0.0569
[9] 0.0515
[9] 0.0542
[9] 0.0552
d3 25137 trainable params
[0] 0.1945
[0] 0.1111
[0] 0.0895
[0] 0.0805
[0] 0.0771
[0] 0.0775
[0] 0.0782
[0] 0.0704
[1] 0.0695
[1] 0.0690
[1] 0.0749
[1] 0.0656
[1] 0.0675
[1] 0.0616
[1] 0.0638
[1] 0.0738
[2] 0.0641
[2] 0.0595
[2] 0.0577
[2] 0.0567
[2] 0.0538
[2] 0.0605
[2] 0.0612
[2] 0.0591
[3] 0.0531
[3] 0.0556
[3] 0.0557
[3] 0.0542
[3] 0.1366
[3] 0.0568
[3] 0.0543
[3] 0.0533
[4] 0.0527
[4] 0.0521
[4] 0.0533
[4] 0.0521
[4] 0.0542
[4] 0.0523
[4] 0.1039
[4] 0.0549
[5] 0.0536
[5] 0.0496
[5] 0.0514
[5] 0.0511
[5] 0.0500
[5] 0.0511
[5] 0.0507
[5] 0.0532
[6] 0.0530
[6] 0.0477
[6] 0.0538
[6] 0.0509
[6] 0.0485
[6] 0.0507
[6] 0.0478
[6] 0.0489
[7] 0.0510
[7] 0.0490
[7] 0.0543
[7] 0.0479
[7] 0.0487
[7] 0.0467
[7] 0.0456
[7] 0.0506
[8] 0.0486
[8] 0.0473
[8] 0.0491
[8] 0.0508
[8] 0.0484
[8] 0.0489
[8] 0.0501
